County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Copiah County,White,46,Male,Some College,Unemployed,35471.349456388794,0,4.254411812737994,1,0
Copiah County,White,41,Female,PhD,Employed,14498.932342943675,3,10.721461166512686,0,0
Copiah County,White,33,Female,Some College,Employed,36336.74715406625,2,4.506952130531191,1,1
Copiah County,White,49,Male,Bachelor's Degree,Employed,14891.234531880922,1,6.01289676309308,1,1
Copiah County,Black,73,Female,High School,Employed,72466.75054336859,3,5.900893203778535,0,0
Copiah County,Black,20,Male,High School,Unemployed,14268.911279963639,2,4.72210781047073,0,1
Copiah County,Black,65,Male,Some College,Employed,15089.633525457573,1,5.543838440800419,0,0
Copiah County,White,21,Male,Less than High School,Unemployed,35095.898677429366,1,4.837615171403628,1,0
Copiah County,White,54,Female,Master's Degree,Employed,76645.15216776868,2,3.2657458223475118,1,0
Copiah County,Black,40,Female,Less than High School,Unemployed,15585.387079526703,3,3.8585623456166043,1,1
Copiah County,White,32,Male,Bachelor's Degree,Employed,33527.9230462506,1,5.018790621743366,0,0
Copiah County,White,37,Female,Less than High School,Unemployed,15347.244735510543,4,4.1624151671161425,1,0
Copiah County,White,52,Female,Less than High School,Unemployed,33905.941804341535,3,4.863629602379294,1,0
Copiah County,White,64,Female,Less than High School,Unemployed,36253.61968605007,1,10.943564165441922,0,0
Copiah County,White,65,Male,Less than High School,Employed,77392.97635396241,3,4.369957835953689,1,0
Copiah County,White,54,Male,Some College,Employed,15061.190632478316,0,6.652495214155509,0,0
Copiah County,White,26,Female,Bachelor's Degree,Employed,76576.82098967483,0,2.998349103535431,1,0
Copiah County,Black,19,Male,Master's Degree,Employed,122679.37641479685,0,3.8407026478534156,1,0
Copiah County,White,22,Female,Master's Degree,Employed,74783.75924199611,3,4.784840494377468,1,0
Copiah County,White,50,Female,High School,Unemployed,15482.455346565706,2,4.5368869473545335,0,0
Copiah County,White,26,Male,High School,Employed,34857.42819010625,0,5.109564333979897,1,0
Copiah County,Black,54,Male,Less than High School,Unemployed,14786.697397988162,1,7.003750632520407,0,1
Copiah County,White,29,Male,Less than High School,Unemployed,34979.74356537605,1,3.6411830009999915,0,0
Copiah County,White,71,Male,Some College,Employed,36148.872383530266,1,3.8229171713892893,0,0
Copiah County,White,24,Male,Some College,Employed,34423.22816579806,1,1.0816531771933309,1,0
Copiah County,Black,75,Male,Bachelor's Degree,Employed,72553.21194851807,1,5.687474268800367,0,0
Copiah County,White,21,Female,Bachelor's Degree,Employed,76590.10515248084,1,2.786936923254734,1,0
Copiah County,White,36,Male,High School,Employed,15488.967319062123,1,0.9978905520555126,1,1
Copiah County,White,57,Male,High School,Unemployed,120007.96848154416,0,4.388520363288481,1,0
Copiah County,White,54,Female,Some College,Employed,14609.811169133916,4,5.690466325813801,1,0
Copiah County,Black,69,Female,Less than High School,Unemployed,14462.95798464149,3,2.0688542189623513,1,1
Copiah County,White,56,Male,Some College,Unemployed,34467.794940537584,4,10.523239230657435,1,1
Copiah County,White,52,Male,Bachelor's Degree,Employed,124379.38723631765,3,7.580220070387839,1,1
Copiah County,Black,20,Male,High School,Employed,15373.239505444959,0,2.0912865394447437,1,0
Copiah County,White,26,Male,PhD,Employed,76133.60688661256,2,1.9471132530877013,1,0
Copiah County,Black,30,Female,High School,Unemployed,35423.24998617451,1,6.158766996712296,0,0
Copiah County,Black,52,Male,Some College,Employed,73892.8120995724,2,9.24035347936961,0,1
Copiah County,Black,72,Female,High School,Unemployed,36195.06643579666,1,7.050084557704662,0,0
Copiah County,Black,75,Male,High School,Employed,34899.50508589357,1,5.50834772406529,0,0
Copiah County,White,25,Male,High School,Employed,78593.28703511365,3,6.402362994707086,1,0
Copiah County,White,60,Male,Some College,Unemployed,15201.213207443605,0,4.820780064971736,1,0
Copiah County,Black,20,Male,Some College,Unemployed,33691.92659547576,2,4.686518510399854,0,0
Copiah County,Black,39,Female,High School,Employed,35616.62146726401,1,5.448930169865717,0,0
Copiah County,White,44,Male,Master's Degree,Employed,122813.80019289623,1,3.054535765912945,1,0
Copiah County,White,36,Male,Bachelor's Degree,Employed,76397.45397514573,1,4.142051489473826,1,0
Copiah County,Black,54,Male,High School,Employed,33493.74401856842,3,9.033175657855711,1,1
Copiah County,White,66,Female,Bachelor's Degree,Employed,120936.0179646995,0,4.0096744466394245,1,0
Copiah County,White,59,Female,Less than High School,Employed,15533.60588835868,1,4.726495775197938,1,1
Copiah County,White,18,Male,High School,Employed,14590.769335535271,1,4.11613823232756,1,0
Copiah County,Black,34,Male,High School,Unemployed,15505.56168786441,2,4.6743664290049916,0,1
Copiah County,White,27,Female,Some College,Employed,34227.46630959043,0,4.152750190481973,1,0
Copiah County,Black,60,Female,High School,Employed,15214.322865088061,3,7.81877655408086,0,0
Copiah County,White,72,Female,High School,Employed,76456.12930132373,3,1.087345997747347,1,0
Copiah County,White,46,Male,Less than High School,Employed,15018.982129717577,4,2.782512566487596,1,1
Copiah County,White,48,Male,Some College,Unemployed,34318.58736843856,1,5.809279621260311,0,0
Copiah County,Black,60,Male,Some College,Employed,33994.255317298834,0,5.536168225488707,0,0
Copiah County,White,67,Female,Some College,Employed,71498.92015921819,1,4.339754894622851,1,0
Copiah County,White,53,Female,PhD,Employed,34313.81240434253,2,6.452807224057177,0,0
Copiah County,Black,62,Male,High School,Unemployed,35536.06976685949,2,6.661118278801219,0,0
Copiah County,White,66,Female,Some College,Employed,130478.81023060603,3,6.191980855241015,0,0
Copiah County,Black,75,Male,High School,Employed,77784.0336169729,2,4.253777760160973,1,0
Copiah County,Black,30,Male,Less than High School,Employed,35931.22671787356,2,5.055200811599462,0,0
Copiah County,White,69,Male,High School,Unemployed,36009.56570138654,1,6.035580694027208,1,0
Copiah County,Black,44,Male,High School,Unemployed,76237.38677606996,2,3.7934818327203614,1,0
Copiah County,Black,29,Female,PhD,Employed,34161.00400148101,1,5.5117233213670795,0,0
Copiah County,White,42,Female,High School,Unemployed,36425.1826074704,0,3.238329454771996,1,1
Copiah County,White,74,Male,Less than High School,Employed,35597.56309167042,3,4.320334445730665,1,1
Copiah County,White,55,Male,Some College,Employed,35211.542208431536,1,3.079860874363961,1,0
Copiah County,White,60,Male,High School,Unemployed,33638.46314224718,2,4.8390297910487,1,0
Copiah County,White,47,Male,High School,Unemployed,14920.583315709637,3,3.879367659690129,0,1
Copiah County,White,25,Female,Master's Degree,Employed,74702.68703401444,1,4.180764543096192,0,1
Copiah County,White,26,Male,Less than High School,Employed,36275.972633329344,1,5.397110259952578,0,0
Copiah County,White,19,Female,Less than High School,Employed,35163.26877065726,2,5.387086424265117,1,0
Copiah County,Black,70,Male,Less than High School,Unemployed,14820.600823455614,2,8.447800873372199,0,1
Copiah County,White,62,Female,Some College,Employed,130960.00410638323,0,3.085218987692573,1,0
Copiah County,Black,64,Female,Some College,Employed,33637.522076642104,2,2.7504839789970292,1,0
Copiah County,Black,73,Male,High School,Unemployed,74419.11321233958,2,7.458605942551382,0,0
Copiah County,White,50,Female,Less than High School,Unemployed,14313.037012757106,2,6.478265026232496,1,1
Copiah County,White,73,Female,Less than High School,Unemployed,15359.856181150395,3,6.1277148715915075,1,0
Copiah County,Black,57,Male,Master's Degree,Employed,36463.26793269703,1,0.9018394103233259,1,0
Copiah County,White,66,Male,Some College,Employed,14670.055994325734,1,5.521765851439239,1,0
Copiah County,Black,74,Female,Some College,Unemployed,77687.5625759934,4,4.130801415286445,1,1
Copiah County,White,63,Female,High School,Employed,14688.327345692847,3,4.505061583846219,1,1
Copiah County,Black,73,Female,Bachelor's Degree,Employed,130134.62702054893,0,4.660808051417499,1,0
Copiah County,White,65,Male,High School,Employed,76904.71427697588,5,5.048733789366587,1,0
Copiah County,Black,68,Female,Some College,Unemployed,36067.173718945036,6,6.230274237231232,0,0
Copiah County,Black,43,Female,Bachelor's Degree,Employed,71385.04916700341,3,6.182353511403122,0,0
Copiah County,Black,50,Male,Some College,Employed,36619.83624975909,2,6.613977033244784,0,0
Copiah County,White,25,Male,Master's Degree,Employed,76700.03244052743,1,9.381922598425565,0,1
Copiah County,Black,56,Male,High School,Unemployed,73535.633215396,2,7.579598539994881,0,1
Copiah County,White,32,Male,Some College,Unemployed,77470.45998644135,1,3.8603197585274143,1,0
Copiah County,Black,39,Female,High School,Unemployed,34235.32419445225,1,2.09859656204721,1,0
Copiah County,White,23,Male,High School,Unemployed,15559.13075934919,2,1.029926579809443,1,0
Copiah County,White,33,Male,Some College,Employed,14418.870585617906,2,8.558757456790685,0,0
Copiah County,Black,49,Male,Less than High School,Employed,35712.90092111278,1,5.157612892300344,1,0
Copiah County,White,71,Female,Some College,Employed,15061.047714967364,2,6.081970324002566,1,0
Copiah County,Black,56,Female,Master's Degree,Employed,71974.0085264658,2,3.674939814262474,1,0
Copiah County,Black,54,Female,High School,Unemployed,14612.840742388258,2,2.92062948183566,0,0
Copiah County,Black,42,Female,Less than High School,Unemployed,118905.05045346644,2,9.530404735363451,0,0
Copiah County,White,73,Female,Master's Degree,Employed,34890.68787912577,0,7.5903834294065335,0,1
Copiah County,White,66,Female,Some College,Unemployed,14701.89789114,0,4.378408443801956,1,1
Copiah County,White,21,Female,Master's Degree,Employed,75737.68113223318,3,5.871717269600113,1,0
Copiah County,White,32,Male,Less than High School,Employed,34290.332326980155,3,5.392046555177114,0,0
Copiah County,White,70,Female,Some College,Unemployed,122498.9888938373,3,6.157366351196715,1,0
Copiah County,White,60,Female,Bachelor's Degree,Employed,35851.17619556061,3,4.235849042833319,0,0
Copiah County,Black,27,Male,Some College,Employed,14322.21425396753,1,3.0015822558631156,1,1
Copiah County,Black,71,Male,Less than High School,Employed,15604.34249278798,1,6.092284661551631,0,1
Copiah County,White,21,Male,Some College,Employed,36232.923560369134,1,4.992517693818864,1,0
Copiah County,White,19,Male,Bachelor's Degree,Employed,76258.53512419805,0,1.8780971951192178,1,0
Copiah County,Black,45,Male,Some College,Employed,35326.27549537585,2,3.133471269156903,1,0
Copiah County,White,48,Female,Less than High School,Employed,129903.78122674565,1,3.824617889952685,0,0
Copiah County,White,64,Male,High School,Employed,72639.97634646535,0,3.6194527731451633,1,1
Copiah County,White,50,Male,Bachelor's Degree,Employed,119737.11452738535,1,3.0872833775443005,0,0
Copiah County,White,50,Female,High School,Employed,34088.28559468338,2,3.741688543525639,1,0
Copiah County,White,48,Male,High School,Employed,36031.02397545067,0,3.2642751506117484,0,0
Copiah County,White,57,Male,Some College,Unemployed,71510.02700044862,1,5.453928577002587,1,0
Copiah County,White,44,Male,High School,Employed,15124.210252625233,2,2.1659457560881794,1,1
Copiah County,Other,52,Female,Less than High School,Employed,36734.03130666959,1,2.922095220153267,1,0
Copiah County,White,62,Male,High School,Employed,15533.544140756308,0,6.321639263140415,0,1
Copiah County,Black,47,Male,Less than High School,Unemployed,35075.05991165256,6,6.513982275105271,0,0
Copiah County,Black,58,Female,High School,Unemployed,14345.461363929962,0,6.89945780764424,0,1
Copiah County,Black,22,Female,Some College,Unemployed,36159.80730034998,0,4.373323855234936,1,0
Copiah County,Black,72,Female,High School,Employed,35346.42477862023,2,7.649067967924955,1,0
Copiah County,White,34,Female,High School,Unemployed,33652.26548970848,4,4.282407564373888,1,0
Copiah County,White,28,Male,Master's Degree,Employed,33578.500496881745,1,7.671118227311338,0,0
Copiah County,White,67,Male,Some College,Employed,78072.20114577444,2,1.9540390914407701,1,0
Copiah County,Black,25,Male,Less than High School,Employed,35592.20092028328,2,4.280909337213486,1,0
Copiah County,White,53,Female,High School,Employed,77469.65099487566,4,0.9633844010312556,1,0
Copiah County,White,74,Male,High School,Unemployed,15568.468350423402,2,0.9338985493372185,1,1
Copiah County,White,40,Male,High School,Employed,15107.658528072485,2,1.01136025249167,1,1
Copiah County,White,71,Male,Some College,Employed,125218.07939693802,1,7.610616683825093,0,0
Copiah County,White,38,Female,Some College,Employed,14895.641115481485,1,6.235235756009969,1,0
Copiah County,Black,67,Female,High School,Unemployed,73627.0994084334,1,3.042036702053619,1,0
Copiah County,White,59,Female,High School,Employed,14901.893941288066,3,6.436047091279076,0,1
Copiah County,White,69,Male,High School,Employed,128423.49569662695,2,4.092005781359336,1,0
Copiah County,White,35,Male,High School,Employed,35356.732008552965,0,3.2940323100625584,1,0
Copiah County,White,39,Female,Less than High School,Employed,15588.784934932268,1,4.640084015236524,1,0
Copiah County,Black,18,Female,Less than High School,Employed,34801.83005032715,2,4.014663721890989,1,0
Copiah County,Black,67,Male,Some College,Employed,15160.63436807813,2,3.2264238431567733,1,0
Copiah County,White,18,Female,High School,Employed,35459.57643582196,1,6.288922341305046,1,0
Copiah County,White,29,Female,Bachelor's Degree,Employed,75687.72871729745,1,6.236418889194321,1,0
Copiah County,White,21,Male,Some College,Employed,76519.75329814137,0,3.1214904503922654,1,0
Copiah County,Black,32,Female,Less than High School,Unemployed,34081.01713931182,1,5.831389381463707,0,0
Copiah County,White,67,Male,Some College,Unemployed,125154.54721932237,2,4.793591844264494,1,0
Copiah County,White,66,Male,High School,Employed,14406.337204212521,2,6.371233386574216,1,0
Copiah County,White,34,Female,Some College,Unemployed,34595.78964675684,1,6.372136073615017,0,0
Copiah County,White,49,Female,High School,Employed,14981.500602931896,1,4.293657854864083,1,0
Copiah County,White,42,Female,Master's Degree,Employed,76141.68194659104,0,1.0826481105112942,1,0
Copiah County,White,62,Female,High School,Employed,130631.63815732753,0,4.009073919088751,1,0
Copiah County,White,43,Female,Master's Degree,Employed,75754.88299911267,1,4.0012130357497595,1,0
Copiah County,White,20,Female,High School,Unemployed,15365.390874264838,0,7.417613250553486,0,1
Copiah County,Black,48,Male,Bachelor's Degree,Employed,75046.99544621402,1,6.179956716933319,1,0
Copiah County,White,52,Male,Some College,Unemployed,126676.30039220412,2,4.161573501806163,1,0
Copiah County,Black,33,Male,Some College,Employed,71781.9916210033,2,8.473268271097762,0,1
Copiah County,White,36,Female,Bachelor's Degree,Employed,121929.89476052308,2,3.2340032050905396,1,0
Copiah County,Black,28,Female,Some College,Employed,14792.779639807708,2,2.902797094110922,1,1
Copiah County,White,45,Male,Less than High School,Employed,34903.7267425228,2,5.8506995431679325,1,0
Copiah County,Black,21,Male,Master's Degree,Employed,71592.36559126787,1,3.6751855518726955,1,0
Copiah County,Black,67,Female,Some College,Employed,33740.08434143661,0,6.093936169195409,0,0
Copiah County,White,75,Female,Less than High School,Employed,14665.221461686957,3,5.44313072855609,1,0
Copiah County,White,52,Female,Some College,Employed,78536.49518175788,2,5.958717621758953,1,0
Copiah County,White,19,Male,Some College,Employed,34409.714524860676,1,6.051173561649092,1,0
Copiah County,Black,58,Female,High School,Unemployed,34937.143703392285,3,7.658466003405255,0,0
Copiah County,White,58,Female,High School,Employed,14544.14656910759,1,10.181666521138022,0,0
Copiah County,Black,37,Male,High School,Employed,35387.73024876518,3,4.53050024993905,0,0
Copiah County,White,37,Female,Less than High School,Employed,73355.1241163698,2,1.8149392754996858,1,0
Copiah County,White,50,Female,High School,Employed,14560.48886765764,2,8.516160897055453,0,1
Copiah County,White,62,Male,High School,Unemployed,15024.858942668969,1,4.860190641411263,1,0
Copiah County,White,42,Male,Less than High School,Unemployed,33269.27029706147,3,0.925412102530377,1,1
Copiah County,White,42,Female,High School,Employed,33276.82411427228,0,4.017794608043843,1,0
Copiah County,Black,72,Female,Bachelor's Degree,Employed,72893.01606826393,0,2.1079974212394443,1,0
Copiah County,White,54,Female,Some College,Unemployed,119209.01703126026,4,4.715821027496843,1,0
Copiah County,White,58,Male,Some College,Unemployed,14412.038631196037,2,3.0737342854914003,1,1
Copiah County,Black,43,Female,Some College,Unemployed,34436.01227268563,4,5.502416957992522,0,1
Copiah County,White,61,Male,PhD,Employed,36059.049878529346,3,3.6413453769348862,1,0
Copiah County,White,42,Male,Bachelor's Degree,Employed,35252.17025179255,1,3.0188127789408887,0,1
Copiah County,Black,24,Male,Less than High School,Unemployed,75095.00794467313,2,2.0162540486440426,1,0
Copiah County,Black,40,Male,High School,Unemployed,122418.61029010151,5,6.164915881797849,0,0
Copiah County,Black,57,Male,Bachelor's Degree,Employed,15647.630579149225,2,10.452182667445324,0,1
Copiah County,Other,74,Female,Some College,Unemployed,34639.55264433017,3,7.666192911247549,1,0
